bookmaker,pre_game_key,match_label,start_time,bb_ready,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds,is_mapped
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Elijah Bryant,1.5,,2.3,1.55,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Kevin Punter,2.5,,2.25,1.57,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,William Clyburn,1.5,,2.3,1.55,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Kevin Punter,18.5,,2.4,1.44,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Vasilije Micic,14.5,,2.4,1.44,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Points,POINTS,Points,William Clyburn,13.5,,2.05,1.65,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Elijah Bryant,16.5,,2.15,1.61,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Daniel Oturu,14.5,,2.3,1.54,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Tornike Shengelia,16.5,,2.35,1.5,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Daniel Oturu,6.5,,2.1,1.65,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Elijah Bryant,5.5,,2.05,1.65,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Tornike Shengelia,5.5,,2.1,1.65,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Jan Vesely,3.5,,1.9,1.81,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Jan Vesely,9.5,,1.95,1.77,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Assists,AS,Assists,Vasilije Micic,4.5,,2.12,1.62,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,William Clyburn,4.5,,2.12,1.65,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Assists,AS,Assists,Vasilije Micic,6.5,7+,4.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Assists,AS,Assists,Vasilije Micic,2.5,3+,1.12,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Assists,AS,Assists,Vasilije Micic,4.5,5+,2.05,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,William Clyburn,0.5,1+,1.28,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,William Clyburn,2.5,3+,2.95,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,William Clyburn,1.5,2+,2.18,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,24.5,25+,8.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,11.5,12+,1.25,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,17.5,18+,2.35,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,19.5,20+,3.1,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,14.5,15+,1.67,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,19.5,20+,4.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,11.5,12+,1.34,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,14.5,15+,1.75,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,17.5,18+,2.8,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,9.5,10+,1.15,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Vasilije Micic,3.5,4+,4.15,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Vasilije Micic,2.5,3+,2.35,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Vasilije Micic,1.5,2+,1.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Chris Jones,4.5,5+,1.2,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Chris Jones,11.5,12+,2.87,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Chris Jones,7.5,8+,1.72,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Chris Jones,9.5,10+,2.18,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,William Clyburn,14.5,15+,2.12,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,William Clyburn,9.5,10+,1.31,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,William Clyburn,11.5,12+,1.61,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,William Clyburn,17.5,18+,4.15,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,William Clyburn,19.5,20+,6.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Vasilije Micic,14.5,15+,2.18,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Vasilije Micic,9.5,10+,1.31,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Vasilije Micic,19.5,20+,5.75,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Vasilije Micic,11.5,12+,1.55,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Vasilije Micic,17.5,18+,4.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Antonio Blakeney,19.5,20+,6.25,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Antonio Blakeney,9.5,10+,1.34,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Antonio Blakeney,14.5,15+,2.35,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Antonio Blakeney,11.5,12+,1.67,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Antonio Blakeney,17.5,18+,4.25,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Antonio Blakeney,3.5,4+,5.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Antonio Blakeney,1.5,2+,1.75,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Antonio Blakeney,2.5,3+,2.87,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Elijah Bryant,1.5,2+,2.18,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Elijah Bryant,0.5,1+,1.27,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Elijah Bryant,2.5,3+,4.25,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Assists,AS,Assists,Kevin Punter,4.5,5+,5.25,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Assists,AS,Assists,Kevin Punter,2.5,3+,1.98,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Assists,AS,Assists,Elijah Bryant,4.5,5+,3.25,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Assists,AS,Assists,Elijah Bryant,2.5,3+,1.59,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Kevin Punter,1.5,2+,1.35,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Kevin Punter,2.5,3+,2.18,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,3P Made,3P_M,3P Made,Kevin Punter,3.5,4+,3.2,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Jan Vesely,7.5,8+,1.38,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Jan Vesely,9.5,10+,1.85,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Jan Vesely,14.5,15+,6.0,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Jan Vesely,11.5,12+,2.32,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Jan Vesely,4.5,5+,1.13,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Daniel Oturu,19.5,20+,5.5,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Daniel Oturu,14.5,15+,2.25,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Daniel Oturu,11.5,12+,1.54,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Daniel Oturu,9.5,10+,1.27,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Daniel Oturu,17.5,18+,3.8,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Kevin Punter,17.5,18+,2.1,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Kevin Punter,19.5,20+,2.8,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Kevin Punter,11.5,12+,1.21,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Kevin Punter,24.5,25+,3.9,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points,POINTS,Points,Kevin Punter,14.5,15+,1.55,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Rebounds,TR,Rebounds,Jan Vesely,6.5,7+,6.15,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Rebounds,TR,Rebounds,Jan Vesely,2.5,3+,1.3,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Rebounds,TR,Rebounds,Jan Vesely,4.5,5+,2.42,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Rebounds,TR,Rebounds,Elijah Bryant,6.5,7+,3.7,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Rebounds,TR,Rebounds,Elijah Bryant,2.5,3+,1.07,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Rebounds,TR,Rebounds,Elijah Bryant,4.5,5+,1.75,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,William Clyburn,17.5,18+,1.91,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,William Clyburn,13.5,14+,1.29,,True
OPAP,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,YES,ALT_PROPS,Points + Rebounds,PR,Points + Rebounds,William Clyburn,21.5,22+,3.4,,True
