bookmaker,pre_game_key,match_label,start_time,bb_ready,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds,is_mapped
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Rebounds + Assists,RA,Rebounds + Assists,Codi Miller-McIntyre,11.5,,2.0,1.71,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points + Rebounds,PR,Points + Rebounds,Jordan Nwora,22.5,,2.3,1.54,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points + Rebounds,PR,Points + Rebounds,Codi Miller-McIntyre,16.5,,2.2,1.55,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points + Rebounds,PR,Points + Rebounds,Chima Moneke,20.5,,2.3,1.54,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points + Assists,PA,Points + Assists,Codi Miller-McIntyre,19.5,,2.05,1.67,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points + Assists,PA,Points + Assists,Jared Butler,19.5,,2.2,1.55,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points + Assists,PA,Points + Assists,Wade Baldwin,21.5,,2.25,1.54,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Wade Baldwin,1.5,,2.5,1.43,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Talen Horton-Tucker,1.5,,2.25,1.57,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Jordan Nwora,2.5,,2.8,1.36,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Codi Miller-McIntyre,1.5,,1.92,1.78,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Tarik Biberovic,2.5,,1.98,1.72,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Jared Butler,2.5,,2.2,1.58,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,3P Made,3P_M,3P Made,Bonzie Colson,1.5,,2.2,1.58,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Chima Moneke,14.5,,2.45,1.44,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Codi Miller-McIntyre,12.5,,2.25,1.56,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Tarik Biberovic,14.5,,2.4,1.44,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Talen Horton-Tucker,19.5,,2.45,1.44,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Jared Butler,15.5,,2.4,1.44,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Jordan Nwora,18.5,,2.3,1.53,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Points,POINTS,Points,Wade Baldwin,15.5,,2.4,1.44,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Assists,AS,Assists,Codi Miller-McIntyre,7.5,,2.0,1.68,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Assists,AS,Assists,Jared Butler,4.5,,2.05,1.67,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Chima Moneke,6.5,,2.15,1.61,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Mikael Jantunen,3.5,,2.2,1.55,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Codi Miller-McIntyre,3.5,,1.72,2.0,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Talen Horton-Tucker,3.5,,1.72,2.0,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Rebounds,TR,Rebounds,Jordan Nwora,3.5,,1.75,1.97,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,MAIN_PROPS,Assists,AS,Assists,Wade Baldwin,5.5,,1.72,2.0,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,ALT_PROPS,Points,POINTS,Points,Bonzie Colson,4.5,5+,1.22,,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,ALT_PROPS,Points,POINTS,Points,Bonzie Colson,11.5,12+,2.85,,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,ALT_PROPS,Points,POINTS,Points,Bonzie Colson,7.5,8+,1.78,,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,ALT_PROPS,Points,POINTS,Points,Bonzie Colson,9.5,10+,2.22,,True
OPAP,2026-03-13_crvena_zvezda_fenerbahce,Crvena Zvezda vs Fenerbahce,2026-03-13T19:00:00Z,YES,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,17.5,18+,1.91,,True
