bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,14.5,15+,1.47,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,16.5,17+,1.85,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,18.5,19+,2.42,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,20.5,21+,3.3,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,22.5,23+,4.65,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,24.5,25+,6.6,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,26.5,27+,9.25,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,28.5,29+,12.5,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,30.5,31+,15.5,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,14.5,15+,1.47,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,16.5,17+,1.83,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,18.5,19+,2.4,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,20.5,21+,3.35,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,22.5,23+,4.8,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,24.5,25+,6.9,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,26.5,27+,9.75,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,28.5,29+,13.0,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Wade Baldwin,30.5,31+,15.5,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,14.5,15+,1.52,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,16.5,17+,1.93,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,18.5,19+,2.55,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,20.5,21+,3.55,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,22.5,23+,5.1,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,24.5,25+,7.3,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,26.5,27+,10.25,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,28.5,29+,13.5,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Talen Horton-Tucker,30.5,31+,16.0,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,13.5,14+,1.45,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,15.5,16+,1.8,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,17.5,18+,2.35,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,19.5,20+,3.15,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,21.5,22+,4.4,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,23.5,24+,6.1,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,25.5,26+,8.5,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,27.5,28+,11.5,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Tarik Biberovic,29.5,30+,14.5,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Alpha Diallo,10.5,11+,1.42,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Alpha Diallo,12.5,13+,1.82,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Alpha Diallo,14.5,15+,2.5,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Alpha Diallo,16.5,17+,3.55,
STOIXIMAN,2026-03-05_fenerbahce_monaco,Fenerbahce vs Monaco,2026-03-05T17:45:00Z,ALT_PROPS,Points,POINTS,Points,Alpha Diallo,18.5,19+,5.2,
