bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,16.5,17+,1.53,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,18.5,19+,1.93,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,20.5,21+,2.5,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,22.5,23+,3.4,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,24.5,25+,4.75,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,26.5,27+,6.7,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,28.5,29+,9.0,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,30.5,31+,12.0,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Jordan Nwora,32.5,33+,15.0,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,13.5,14+,1.47,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,15.5,16+,1.85,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,17.5,18+,2.42,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,19.5,20+,3.3,
STOIXIMAN,2026-03-06_crvena_zvezda_bayern_munchen,Crvena Zvezda vs Bayern Munchen,2026-03-06T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,21.5,22+,4.7,
