bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,17.5,18+,1.53,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,19.5,20+,1.9,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,21.5,22+,2.45,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,23.5,24+,3.2,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,25.5,26+,4.35,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,27.5,28+,6.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,29.5,30+,8.25,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,31.5,32+,10.75,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,33.5,34+,13.5,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,13.5,14+,1.47,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,15.5,16+,1.83,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,17.5,18+,2.4,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,19.5,20+,3.25,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,21.5,22+,4.55,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,23.5,24+,6.4,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,25.5,26+,9.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,27.5,28+,12.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,29.5,30+,14.5,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,11.5,12+,1.47,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,13.5,14+,1.85,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,15.5,16+,2.47,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,17.5,18+,3.4,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,19.5,20+,4.9,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,21.5,22+,7.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,23.5,24+,9.75,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,25.5,26+,13.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,27.5,28+,16.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,11.5,12+,1.5,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,13.5,14+,1.75,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,15.5,16+,2.35,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,17.5,18+,3.5,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,19.5,20+,5.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,21.5,22+,7.2,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,23.5,24+,10.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,25.5,26+,13.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,27.5,28+,15.5,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,10.5,11+,1.5,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,12.5,13+,1.93,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,14.5,15+,2.62,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,16.5,17+,3.7,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,18.5,19+,5.4,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,20.5,21+,8.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,22.5,23+,11.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,24.5,25+,14.0,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,26.5,27+,16.5,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nikola Milutinov,10.5,11+,1.6,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nikola Milutinov,11.5,12+,1.82,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nikola Milutinov,12.5,13+,2.15,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nikola Milutinov,13.5,14+,2.55,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nikola Milutinov,14.5,15+,3.1,
STOIXIMAN,2026-03-10_paris_basketball_olympiacos,Paris Basketball vs Olympiacos,2026-03-10T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nikola Milutinov,15.5,16+,3.8,
