bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,13.5,14+,1.47,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,15.5,16+,1.83,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,17.5,18+,2.4,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,19.5,20+,3.25,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,21.5,22+,4.6,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,23.5,24+,6.4,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,25.5,26+,8.75,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,27.5,28+,11.75,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Kevin Punter,29.5,30+,15.0,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,12.5,13+,1.44,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,14.5,15+,1.78,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,16.5,17+,2.35,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,18.5,19+,3.25,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,20.5,21+,4.6,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,22.5,23+,6.7,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,24.5,25+,9.25,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,26.5,27+,12.5,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Elijah Bryant,28.5,29+,15.5,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,12.5,13+,1.45,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,14.5,15+,1.83,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,16.5,17+,2.47,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,18.5,19+,3.45,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,20.5,21+,5.0,
STOIXIMAN,2026-03-13_barcelona_hapoel_tel_aviv,Barcelona vs Hapoel Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Tornike Shengelia,22.5,23+,7.4,
