bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds,is_mapped
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Luca Vildoza,8.5,,2.04,1.75,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Carsen Edwards,18.5,,1.89,1.87,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Alen Smailagic,7.5,,1.87,1.9,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Derrick Alston,10.5,,1.94,1.82,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Matt Morgan,11.5,,1.94,1.83,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Saliou Niang,5.5,,1.87,1.89,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Nick Calathes,4.5,,2.2,1.65,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Isaac Bonga,9.5,,1.92,1.85,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Sterling Brown,14.5,,2.09,1.71,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Carlik Jones,16.5,,1.95,1.81,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Rebounds,TR,Rebounds,Derrick Alston,3.5,,2.55,1.46,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Rebounds,TR,Rebounds,Saliou Niang,4.5,,2.25,1.58,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Rebounds,TR,Rebounds,Isaac Bonga,5.5,,1.67,2.06,True
NOVIBET,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,MAIN_PROPS,Rebounds,TR,Rebounds,Sterling Brown,2.5,,2.4,1.5,True
