bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds,is_mapped
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points + Rebounds,PR,Points + Rebounds,Richaun Holmes,16.5,,1.82,1.82,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points + Rebounds,PR,Points + Rebounds,Jared Rhoden,14.5,,1.77,1.91,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points + Rebounds,PR,Points + Rebounds,Nigel Hayes,17.5,,1.77,1.91,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points + Assists,PA,Points + Assists,Justin Robinson,16.5,,1.82,1.82,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points + Assists,PA,Points + Assists,Kostas Sloukas,14.5,,1.8,1.87,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points + Assists,PA,Points + Assists,TJ Shorts,13.5,,1.91,1.77,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,3P Made,3P_M,3P Made,Nadir Hifi,2.5,,2.05,1.65,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,3P Made,3P_M,3P Made,Kostas Sloukas,1.5,,2.25,1.56,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,3P Made,3P_M,3P Made,Justin Robinson,1.5,,1.61,2.15,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,3P Made,3P_M,3P Made,Jared Rhoden,1.5,,1.69,2.0,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,3P Made,3P_M,3P Made,Cedi Osman,1.5,,1.71,1.95,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,3P Made,3P_M,3P Made,Nigel Hayes,1.5,,2.05,1.67,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Nadir Hifi,18.5,,1.87,1.83,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Richaun Holmes,10.5,,1.91,1.77,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,TJ Shorts,9.5,,1.83,1.83,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Points,POINTS,Points,Jared Rhoden,12.5,,1.91,1.73,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Assists,AS,Assists,Nadir Hifi,3.5,,1.75,1.97,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Assists,AS,Assists,Jerian Grant,3.5,,1.65,2.1,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Assists,AS,Assists,TJ Shorts,3.5,,1.55,2.3,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Rebounds,TR,Rebounds,Jared Rhoden,2.5,,1.8,1.91,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Rebounds,TR,Rebounds,Lamar Stevens,3.5,,1.68,2.05,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,MAIN_PROPS,Rebounds,TR,Rebounds,Nigel Hayes,4.5,,2.05,1.67,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Amath M'Baye,4.5,5+,1.51,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Amath M'Baye,9.5,10+,5.0,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Amath M'Baye,7.5,8+,2.9,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Lamar Stevens,4.5,5+,1.2,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Lamar Stevens,7.5,8+,1.77,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Lamar Stevens,9.5,10+,2.6,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,24.5,25+,4.15,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,17.5,18+,1.61,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,19.5,20+,2.05,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,14.5,15+,1.28,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Nadir Hifi,11.5,12+,1.09,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jerian Grant,7.5,8+,1.82,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jerian Grant,9.5,10+,2.7,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jerian Grant,4.5,5+,1.22,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,14.5,15+,2.6,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,17.5,18+,4.5,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,9.5,10+,1.34,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,11.5,12+,1.67,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Justin Robinson,7.5,8+,1.15,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,17.5,18+,4.5,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,9.5,10+,1.35,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,11.5,12+,1.68,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,14.5,15+,2.65,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jared Rhoden,7.5,8+,1.15,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Richaun Holmes,11.5,12+,2.25,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Richaun Holmes,14.5,15+,4.15,,True
OPAP,2026-02-26_panathinaikos_paris,Panathinaikos vs Paris,2026-02-26T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Richaun Holmes,7.5,8+,1.31,,True
