bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,15.5,16+,1.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,17.5,18+,1.85,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,19.5,20+,2.4,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,21.5,22+,3.2,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,23.5,24+,4.45,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,25.5,26+,6.3,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,27.5,28+,8.75,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,29.5,30+,11.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carsen Edwards,31.5,32+,14.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,11.5,12+,1.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,12.5,13+,1.67,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,13.5,14+,1.93,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,14.5,15+,2.22,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,15.5,16+,2.6,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,16.5,17+,3.05,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,17.5,18+,3.65,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,18.5,19+,4.4,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Sterling Brown,19.5,20+,5.3,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,9.5,10+,1.26,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,10.5,11+,1.38,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,11.5,12+,1.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,12.5,13+,1.67,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,13.5,14+,1.9,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,14.5,15+,2.22,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,15.5,16+,2.57,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,16.5,17+,3.05,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Carlik Jones,17.5,18+,3.65,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,8.5,9+,1.42,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,10.5,11+,1.88,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,12.5,13+,2.65,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,14.5,15+,3.9,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,16.5,17+,5.9,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,18.5,19+,9.0,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,20.5,21+,12.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,22.5,23+,15.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Isaac Bonga,24.5,25+,18.0,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Matthew Morgan,8.5,9+,1.55,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Matthew Morgan,9.5,10+,1.7,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Matthew Morgan,10.5,11+,1.88,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Matthew Morgan,11.5,12+,2.2,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Matthew Morgan,12.5,13+,2.6,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Matthew Morgan,13.5,14+,3.1,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Matthew Morgan,14.5,15+,4.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Matthew Morgan,15.5,16+,5.5,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Luca Vildoza,8.5,9+,1.57,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Luca Vildoza,9.5,10+,1.82,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Luca Vildoza,10.5,11+,2.12,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Luca Vildoza,11.5,12+,2.57,
STOIXIMAN,2026-03-11_virtus_bologna_partizan,Virtus Bologna vs Partizan,2026-03-11T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Luca Vildoza,12.5,13+,3.1,
