bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,13.5,14+,1.47,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,15.5,16+,1.85,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,17.5,18+,2.37,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,19.5,20+,3.25,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,21.5,22+,4.55,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,23.5,24+,6.4,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,25.5,26+,8.75,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,27.5,28+,11.75,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Andreas Obst,29.5,30+,14.5,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,10.5,11+,1.39,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,11.5,12+,1.55,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,12.5,13+,1.78,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,13.5,14+,2.05,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,14.5,15+,2.4,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,15.5,16+,2.85,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,16.5,17+,3.4,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,17.5,18+,4.1,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Saben Lee,18.5,19+,5.0,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Ercan Osmani,8.5,9+,1.47,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Ercan Osmani,10.5,11+,1.93,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Ercan Osmani,12.5,13+,2.72,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Ercan Osmani,14.5,15+,4.1,
STOIXIMAN,2026-03-12_bayern_munchen_efes,Bayern Munchen vs Efes,2026-03-12T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Ercan Osmani,16.5,17+,6.3,
