bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,13.5,14+,1.5,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,15.5,16+,1.87,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,17.5,18+,2.45,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,19.5,20+,3.3,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,21.5,22+,4.65,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,23.5,24+,6.6,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,25.5,26+,9.25,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,27.5,28+,12.0,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Timothe Luwawu-Cabarrot,29.5,30+,15.0,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,11.5,12+,1.39,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,12.5,13+,1.55,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,13.5,14+,1.75,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,14.5,15+,2.0,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,15.5,16+,2.32,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,16.5,17+,2.75,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,17.5,18+,3.3,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,18.5,19+,3.95,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Dwayne Bacon,19.5,20+,4.8,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,11.5,12+,1.45,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,13.5,14+,1.85,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,15.5,16+,2.52,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,17.5,18+,3.65,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,19.5,20+,5.4,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,21.5,22+,7.9,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,23.5,24+,11.0,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,25.5,26+,14.0,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Mfiondu Kabengele,27.5,28+,16.5,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Eugene Omoruyi,11.5,12+,1.5,
STOIXIMAN,2026-03-12_dubai_bc_baskonia,Dubai BC vs Baskonia,2026-03-12T19:00:00Z,ALT_PROPS,Points,POINTS,Points,Eugene Omoruyi,13.5,14+,1.91,
