bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,15.5,16+,1.5,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,16.5,17+,1.65,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,17.5,18+,1.85,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,18.5,19+,2.1,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,19.5,20+,2.4,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,20.5,21+,2.8,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,21.5,22+,3.25,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,22.5,23+,3.85,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Mike James,23.5,24+,4.6,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,14.5,15+,1.5,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,16.5,17+,1.83,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,18.5,19+,2.37,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,20.5,21+,3.2,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,22.5,23+,4.45,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,24.5,25+,6.3,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,26.5,27+,8.75,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,28.5,29+,11.5,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Tyler Dorsey,30.5,31+,14.5,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,11.5,12+,1.47,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,13.5,14+,1.88,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,15.5,16+,2.52,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,17.5,18+,3.5,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,19.5,20+,5.0,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,21.5,22+,7.2,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,23.5,24+,10.0,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,25.5,26+,13.0,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Evan Fournier,27.5,28+,15.5,
STOIXIMAN,2026-03-12_monaco_olympiacos,Monaco vs Olympiacos,2026-03-12T18:00:00Z,ALT_PROPS,Points,POINTS,Points,Alpha Diallo,10.5,11+,1.5,
