bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,16.5,17+,1.5,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,18.5,19+,1.83,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,20.5,21+,2.37,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,22.5,23+,3.15,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,24.5,25+,4.35,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,26.5,27+,6.0,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,28.5,29+,8.5,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,30.5,31+,11.25,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Kendrick Nunn,32.5,33+,14.0,
STOIXIMAN,2026-03-12_panathinaikos_zalgiris_kaunas,Panathinaikos vs Zalgiris Kaunas,2026-03-12T20:00:00Z,ALT_PROPS,Points,POINTS,Points,Sylvain Francisco,13.5,14+,1.47,
