bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,12.5,13+,1.47,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,14.5,15+,1.85,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,16.5,17+,2.45,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,18.5,19+,3.4,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,20.5,21+,4.8,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,22.5,23+,6.9,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,24.5,25+,9.75,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,26.5,27+,12.5,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Mario Hezonja,28.5,29+,15.5,
STOIXIMAN,2026-03-12_real_madrid_valencia,Real Madrid vs Valencia,2026-03-12T19:45:00Z,ALT_PROPS,Points,POINTS,Points,Jean Montero,10.5,11+,1.36,
