bookmaker,pre_game_key,match_label,start_time,bet_type,book_category,sheet_key,ui_name,player_name,line,source_display,over_odds,under_odds
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,14.5,15+,1.47,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,16.5,17+,1.82,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,18.5,19+,2.4,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,20.5,21+,3.25,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,22.5,23+,4.55,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,24.5,25+,6.5,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,26.5,27+,9.0,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,28.5,29+,12.0,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Lonnie Walker IV,30.5,31+,15.0,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,12.5,13+,1.5,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,13.5,14+,1.7,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,14.5,15+,1.93,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,15.5,16+,2.25,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,16.5,17+,2.67,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,17.5,18+,3.2,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,18.5,19+,3.85,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,19.5,20+,4.65,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Roman Sorkin,20.5,21+,5.7,
STOIXIMAN,2026-03-13_olimpia_milano_maccabi_tel_aviv,Olimpia Milano vs Maccabi Tel Aviv,2026-03-13T19:30:00Z,ALT_PROPS,Points,POINTS,Points,Zach LeDay,11.5,12+,1.47,
